# --------------------------------------------------
# nrow : 900
# ncol : 75
# comment : Station list for covariate paper.
# time_generated : 2024-12-16 15:50:36
# author : Julien Lerat, CSIRO Environment
# source_file : D030_high_quality_station_selection.py
# --------------------------------------------------
STATIONID,LONGITUDE[arc_degree],LATITUDE[arc_degree],CATCHMENTAREA[km2],LONGITUDE_DEM[arc_degree],LATITUDE_DEM[arc_degree],ALTITUDE[m],COORDINATE_DEM_TYPE[-],CATCHMENTAREA_DEM[km2],LONGITUDE_CENTROID[arc_degree],LATITUDE_CENTROID[arc_degree],ALTITUDE_OUTLET[m],PATHLENGTH_MEAN[km],PATHLENGTH_MAX[km],ALTITUDE_MEAN[m],ALTITUDE_MIN[m],ALTITUDE_MAX[m],DAMS_WITHIN_CATCHMENT_CAPACITY[Mm3],RELIEF_RATIO[-],LANDUSE2013_PROP_08[-],LANDUSE2013_PROP_05[-],LANDUSE2013_PROP_07[-],LANDUSE2013_PROP_04[-],LANDUSE2013_PROP_06[-],LANDUSE2013_PROP_02[-],LANDUSE2013_PROP_03[-],LANDUSE2013_PROP_01[-],LANDUSE2013_PROP_00[-],IS_VALID[-],STREAMFLOW_NLININTERP[-],STREAMFLOW_NVALID[-],PRECIPITATION_MEAN[mm/yr],E0_MEAN[mm/yr],STREAMFLOW_MEAN[mm/yr],STREAMFLOW_MAX[m3/sec],NORMSTREAMFLOW_MAX[m3/sec/km2],RUNOFF_COEFFICIENT[-],ARIDITY_INDEX[-],CATCHMENTAREA_VALID[km2],NDAYSMAX_ZERO_CONSECUTIVE[day],STATION_COORD_DEM_ERROR[km],GAUGING_MAX_BoM[m3/sec],GAUGING_MAX_PROVIDER[m3/sec],XOUTLET_EPSG28356[m],YOUTLET_EPSG28356[m],XCENTROID_EPSG28356[m],YCENTROID_EPSG28356[m],DISTANCE_OUTLET_TO_CENTROID[km],RATIO_OUTLET_DISTANCE_VS_SQRTAREA[-],RATIO_MAXPATH_VS_SQRTAREA[-],DISTANCE_OUTLET_FROM_COAST[km],DISTANCE_CENTROID_FROM_COAST[km],DURATION[yr],STREAMFLOW_MEAN_AMS_DURATION[yr],STREAMFLOW_MAX_AMS_DURATION[yr],NAME,STATE,DATA_PROVIDER[-],START[-],COMMENT[-],END[-],CONTROL_SECTION[-],BASIN[-],GEOFABRIC_RIVER[-],DAMS_WITHIN_CATCHMENT[-],STATIONID_ALTERNATIVE[-],DATA_AVAILABILITY[-],DAILYMEAN_PROVIDER_QUALITY_ASSESSMENT[-],DAILYMEAN_BOM_QUALITY_ASSESSMENT[-],DAILYMAX_PROVIDER_QUALITY_ASSESSMENT[-],DAILYMAX_BOM_QUALITY_ASSESSMENT[-],STREAMFLOW_MAX_DATE[-],WATER_YEAR_START[-],IS_ARR,CATCHMENTAREA_ARR[km2],GAUGING_RATIO[-]
002101,139.36710,-25.90837,115205.00000,139.36749,-25.91000,45.00000,1.00000,110514.63281,141.60219,-23.71726,60.46126,478.34570,869.11829,158.46039,35.14498,342.87799,,2.82426,,,,,,,,,,1.00000,0.00000,13817.00000,282.99750,2216.32715,11.06803,4685.18164,0.04067,0.03911,0.12769,115205.00000,313.00000,0.18923,539.15198,539.15198,-873445.00000,7062163.00000,-667038.37500,7329964.50000,338.11426,0.99616,2.56061,796.25610,693.39142,38.98973,17.00000,17.00000,Diamantina River At Birdsville,QLD,DRDMW,1949-10-03 00:00:00,Locations confirmation from Qld Globe imagery,1988-09-29 00:00:00,"Causeway
",Diamantina River,Diamantina River (Diamantina River),nan,002101A/002101B,streamflow_dailymean_drdmw_9am=13974/streamflow_dailymean_bom_9am=13786/streamflow_dailymax_drdmw_9am=13469/streamflow_dailymax_bom_9am=13800/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26965/runoff_era5_mean_9am=26965/pet_era5_mean_9am=26965/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41272,"islin=410,discard=183",islin=282,islin=293,islin=378,1974-02-08,OCT,0.00000,,0.11508
003301,143.28125,-25.18542,51663.00000,143.28500,-25.18750,144.00000,1.00000,49987.52734,145.11794,-24.40126,157.79849,333.80383,606.55115,304.19803,139.70621,725.16962,,1.03602,0.26153,0.00110,0.73608,0.00034,0.00021,0.00013,0.00054,0.00006,0.00000,1.00000,0.00000,8296.00000,316.88718,2176.34619,17.72517,2146.57324,0.04155,0.05594,0.14561,51663.00000,291.00000,0.44779,1220.00000,1220.00000,-482260.37500,7178840.50000,-300862.65625,7278492.50000,206.96777,0.91057,2.66856,724.05762,517.12549,23.83573,10.00000,11.00000,Barcoo River At Retreat,QLD,DRDMW,1999-12-05 00:00:00,GPS position on 17/09/2005 confirmed site location.Datum changed from AGD84 to GDA94.,2023-10-06 00:00:00,"Rock/gravel Conglomerate bar
",Cooper Creek,Barcoo River (Cooper Creek),nan,003301A/003301B,streamflow_dailymean_drdmw_9am=8569/streamflow_dailymean_bom_9am=8433/streamflow_dailymax_drdmw_9am=8191/streamflow_dailymax_bom_9am=8537/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26965/runoff_era5_mean_9am=26965/pet_era5_mean_9am=26965/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=49107/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,"islin=561,settozero=97",islin=374,islin=448,islin=376,2004-01-18,JUL,0.00000,,0.56835
011202,143.93806,-27.76645,26755.00000,143.93750,-27.76750,148.00000,1.00000,26557.28320,144.50557,-26.29862,150.27260,241.85585,437.07620,254.23083,131.21609,465.97629,,1.30564,0.19493,0.00000,0.80410,0.00000,0.00009,0.00003,0.00086,0.00000,0.00000,1.00000,0.00000,20077.00000,388.80557,2041.73535,24.81791,2000.00000,0.07475,0.06383,0.19043,26755.00000,297.00000,0.13044,1195.98706,1195.98706,-395027.71875,6895515.50000,-349843.68750,7063198.50000,173.66423,1.06171,2.67211,819.98969,685.31610,56.61876,36.00000,36.00000,Bulloo River At Autumnvale,QLD,DRDMW,1967-04-07 00:00:00,"Lat/Long & EL entry updated to GDA 94 from GPS download via MapSource & checked on GoogleEarth.(original coordinates were 27 46 15.0002 S, 143 55 37.9996 E) KPK 29/08/2006",2023-11-19 00:00:00,"Sand And Mud
",Bulloo River,Bulloo River (Bulloo River),nan,011202A,streamflow_dailymean_drdmw_9am=20681/streamflow_dailymean_bom_9am=20309/streamflow_dailymax_drdmw_9am=19411/streamflow_dailymax_bom_9am=20320/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26965/runoff_era5_mean_9am=26965/pet_era5_mean_9am=26965/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=49035/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,"islin=992,settozero=249",islin=658,islin=704,islin=679,2010-03-09,JUL,0.00000,,0.59799
105101,144.83870,-15.28160,2302.00000,144.83995,-15.28245,61.50000,1.00000,2293.66553,144.97427,-15.76429,116.82630,81.90520,148.77780,211.27113,15.86430,848.05078,,0.17878,0.96476,0.00035,0.02345,0.00238,0.00903,0.00000,0.00003,0.00000,0.00000,1.00000,0.00000,19189.00000,1576.66333,1827.31519,330.93335,4040.99805,1.75543,0.20989,0.86283,2302.00000,182.00000,0.16543,1310.00000,1310.00000,-378820.34375,8293949.50000,-362106.09375,8240655.00000,55.85382,1.16413,3.10088,44.53164,39.84634,56.06297,49.00000,46.00000,Normanby River At Battle Camp,QLD,DRDMW,1967-12-16 00:00:00,Initial entry details completed on 08.09.1984 by S.J.Parker.GPS location 15.08.1998.GPS location in WGS84 on 29.11.2001.,2024-01-08 00:00:00,"Sand and Rock
",Normanby River,Normanby River (Normanby River),nan,105101A,streamflow_dailymean_drdmw_9am=20445/streamflow_dailymean_bom_9am=17984/streamflow_dailymax_drdmw_9am=18244/streamflow_dailymax_bom_9am=17998/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26965/runoff_era5_mean_9am=26965/pet_era5_mean_9am=26965/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=49128/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,islin=1376,islin=6828,islin=1048,islin=6898,2023-12-18,JUL,0.00000,,0.32418
105102,144.48477,-15.61372,1316.00000,144.48500,-15.61455,84.00000,1.00000,1312.45801,144.64381,-15.76325,85.60395,39.27911,77.26369,225.13087,74.94661,629.05542,,0.13944,0.85066,0.00157,0.10987,0.02637,0.01102,0.00000,0.00051,0.00000,0.00000,1.00000,0.00000,19193.00000,1175.42798,1930.82959,263.56546,2711.58594,2.06048,0.22423,0.60877,1316.00000,292.00000,0.09605,235.53999,235.53999,-415692.15625,8255379.50000,-397820.68750,8239374.50000,23.99053,0.66132,2.12984,85.11271,74.04456,55.64408,45.00000,45.00000,Laura River At Coal Seam Creek,QLD,DRDMW,1968-03-29 00:00:00,Initial entry details completed on 08.09.1994 by S.J.Parker.GPS location on 06.05.1998.GPS location in WGS84 on 26.11.2001.Updated GPS location in WGS84 on 26/07/2009.,2023-11-20 00:00:00,"Sand and Rock
",Normanby River,Laura River (Normanby River),nan,105102A,streamflow_dailymean_drdmw_9am=20325/streamflow_dailymean_bom_9am=19961/streamflow_dailymax_drdmw_9am=18485/streamflow_dailymax_bom_9am=19970/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26965/runoff_era5_mean_9am=26965/pet_era5_mean_9am=26965/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=49128/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,"islin=1591,settozero=1030",islin=1250,islin=1138,islin=1327,2004-03-20,JUL,0.00000,,0.08686
105105,145.01297,-15.76799,297.00000,145.01250,-15.76750,140.00000,1.00000,290.23727,145.12375,-15.84245,136.92540,23.85420,50.09392,247.83495,122.17980,778.48029,,0.07633,0.99155,0.00000,0.00795,0.00000,0.00050,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,19258.00000,1778.57800,1804.23718,451.05573,719.53406,2.42267,0.25360,0.98578,297.00000,227.00000,0.07465,145.80000,0.00000,-357910.03125,8240402.00000,-345632.90625,8232552.00000,14.57241,0.84558,2.90674,36.06263,25.68151,54.86379,47.00000,46.00000,East Normanby River At Mulligan Highway,QLD,DRDMW,1969-02-26 00:00:00,Initial entry details completed on 08.09.1994 by S.J.Parker.GPS location 06.08.1998.GPS location in WGS84 on 30.11.2001.Updated GPS location in WGS84 obtained 01/12/2009.,2024-01-08 00:00:00,"Sand and Rock
",Normanby River,East Normanby River (Normanby River),nan,105105A,streamflow_dailymean_drdmw_9am=19992/streamflow_dailymean_bom_9am=19932/streamflow_dailymax_drdmw_9am=17830/streamflow_dailymax_bom_9am=19943/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26965/runoff_era5_mean_9am=26965/pet_era5_mean_9am=26965/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=49128/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,islin=938,islin=790,islin=688,islin=869,2014-04-13,JUL,1.00000,297.00000,0.20263
107002,145.19318,-15.64394,373.00000,145.19250,-15.64250,60.00000,1.00000,371.51013,145.23280,-15.76316,18.90388,22.72966,40.37987,175.13391,0.00000,792.22089,,0.05097,0.99765,0.00000,0.00039,0.00156,0.00039,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,7910.00000,2068.12646,1836.64832,1057.37439,1270.94385,3.40736,0.51127,1.12603,373.00000,79.00000,0.17624,219.00000,219.00000,-338963.21875,8254967.00000,-334189.93750,8241833.50000,13.97435,0.72356,2.09079,13.76836,14.00543,21.96030,19.00000,19.00000,Annan River At Mount Simon,QLD,DRDMW,1969-02-27 00:00:00,Initial entry details completed in 1998 by S.J.Parker.,1991-02-13 00:00:00,"Rock
",Endeavour River,Annan River (Endeavour River),nan,107002A,streamflow_dailymean_drdmw_9am=8022/streamflow_dailymean_bom_9am=7815/streamflow_dailymax_drdmw_9am=6881/streamflow_dailymax_bom_9am=7823/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26965/runoff_era5_mean_9am=26965/pet_era5_mean_9am=26965/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=49128/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,islin=128,islin=119,islin=148,islin=236,1990-04-20,JUL,1.00000,373.00000,0.17231
108002,145.28189,-16.17961,911.00000,145.28250,-16.18000,25.00000,1.00000,892.03870,145.17554,-16.14329,517.42499,48.89461,90.35055,340.83594,94.17236,1186.29797,,0.08273,0.99984,0.00000,0.00000,0.00016,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,19839.00000,2098.27905,1813.19141,992.04199,4148.43604,4.55372,0.47279,1.15723,911.00000,132.00000,0.07885,1984.89502,1984.89502,-327159.84375,8195605.00000,-338772.50000,8199218.50000,12.16199,0.40294,2.99345,17.37967,28.94378,55.21971,44.00000,48.00000,Daintree River At Bairds,QLD,DRDMW,1968-09-27 00:00:00,nan,2023-12-17 00:00:00,"Sand Gravel
",Daintree River,Daintree River (Daintree River),nan,108002A,streamflow_dailymean_drdmw_9am=20087/streamflow_dailymean_bom_9am=19746/streamflow_dailymax_bom_9am=19667/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26965/runoff_era5_mean_9am=26965/pet_era5_mean_9am=26965/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=49128/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,islin=338,islin=349,nan,islin=587,2019-01-27,JUL,1.00000,911.00000,0.47847
110003,145.53857,-17.25911,228.00000,145.54250,-17.26000,675.00000,1.00000,241.68245,145.51180,-17.33565,776.11548,17.42798,32.69741,729.12744,570.04639,1152.51196,,0.05614,0.40187,0.41211,0.00058,0.18339,0.00000,0.00117,0.00058,0.00029,0.00000,1.00000,0.00000,31070.00000,1836.57776,1744.84680,676.09003,1088.10986,4.77241,0.36812,1.05257,228.00000,4.00000,0.43150,484.00000,484.00000,-294983.15625,8076360.00000,-297517.68750,8067720.50000,9.00347,0.59627,2.16544,43.79664,50.64605,97.98220,86.00000,87.00000,Barron River At Picnic Crossing,QLD,DRDMW,1925-10-12 00:00:00,nan,2023-10-06 00:00:00,"Concrete wall and bedrock
",Barron River,Barron River (Barron River),nan,110003A,streamflow_dailymean_drdmw_9am=35730/streamflow_dailymean_bom_9am=35799/streamflow_dailymax_drdmw_9am=31258/streamflow_dailymax_bom_9am=35800/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26965/runoff_era5_mean_9am=26965/pet_era5_mean_9am=26965/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=49112/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,islin=4747,islin=4850,islin=5638,islin=4989,1967-03-12,OCT,1.00000,228.00000,0.44481
110004,145.49948,-16.99490,58.00000,145.50000,-16.99500,0.00000,3.00000,52.85550,145.56235,-17.05328,400.85919,11.98051,21.85251,496.11047,377.83850,835.24048,,0.04778,0.93774,0.01017,0.01779,0.02795,0.00635,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,5327.00000,1740.15002,1848.35229,532.12360,156.74965,2.70258,0.30579,0.94146,58.00000,1.00000,0.05689,1640.00000,10.22200,-300310.34375,8105635.00000,-293321.78125,8099389.50000,9.37271,1.23070,2.86938,30.98183,29.98282,21.70020,0.00000,0.00000,Emerald Creek At Malones,QLD,DRDMW,1941-04-20 00:00:00,Site details checked 18/04/2013 NRS.,1963-01-01 00:00:00,nan,Barron River,nan,nan,110004A/110004B,streamflow_dailymean_drdmw_9am=7925/streamflow_dailymean_bom_9am=7927/streamflow_dailymax_drdmw_9am=7269/streamflow_dailymax_bom_9am=7928/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26965/runoff_era5_mean_9am=26965/pet_era5_mean_9am=26965/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=49126/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,islin=3327,islin=2669,islin=3498,islin=2556,1955-03-05,NA,1.00000,58.00000,10.46254
