# --------------------------------------------------
# nrow : 46
# ncol : 3
# comment : AMS streamflow data for station 203002. Water year starts on the 1/{wys}.
# time_generated : 2025-11-04 12:04:55
# author : unknown
# source_file : D010_get_data.py
# --------------------------------------------------
WATER_YEAR_START,203002_TIMEPEAK,203002_PEAK,203002_NVALID
1977-10-01,1978-03-19,404.06979,350
1978-10-01,1979-06-21,166.41222,365
1979-10-01,1980-05-09,271.46576,365
1980-10-01,1981-05-23,281.82339,357
1981-10-01,1982-03-14,47.85920,365
1982-10-01,1983-06-23,198.91425,365
1983-10-01,1984-04-09,353.41006,366
1984-10-01,1985-07-09,418.69385,365
1985-10-01,1985-10-27,9.30692,310
1986-10-01,1987-05-11,520.73230,358
1987-10-01,1988-04-12,316.30893,366
1988-10-01,1989-04-02,322.82233,365
1989-10-01,1990-02-03,238.11516,365
1990-10-01,1991-02-07,142.85600,341
1991-10-01,1991-12-12,228.64400,344
1992-10-01,1993-03-17,8.40600,301
1993-10-01,1994-03-03,124.07700,338
1994-10-01,1995-02-15,378.02200,296
1995-10-01,1996-05-02,245.65300,360
1996-10-01,1997-01-27,33.33900,355
1997-10-01,1998-09-12,12.59100,349
1998-10-01,1999-04-10,141.90700,365
1999-10-01,2000-01-13,84.17600,361
2000-10-01,2001-02-01,382.59100,358
2001-10-01,2002-05-06,12.67809,327
2002-10-01,2003-06-27,97.16354,358
2003-10-01,2004-03-05,246.04901,318
2004-10-01,2005-06-29,502.27499,349
2005-10-01,2006-01-19,262.82401,353
2006-10-01,2007-08-21,27.58800,326
2007-10-01,2008-06-03,243.54001,353
2008-10-01,2009-05-21,257.70099,330
2009-10-01,2010-06-03,217.88100,360
2010-10-01,2010-12-24,157.29300,336
2011-10-01,2012-01-25,489.01501,366
2012-10-01,2013-01-28,331.83499,344
2013-10-01,2014-03-28,202.68700,328
2014-10-01,2015-01-01,282.17700,360
2015-10-01,2016-06-04,778.25201,366
2016-10-01,2017-03-31,427.03754,354
2017-10-01,2018-02-24,116.96275,360
2018-10-01,2018-10-16,37.70244,350
2019-10-01,2020-02-12,242.38699,358
2020-10-01,2021-03-22,190.16185,359
2021-10-01,2022-02-28,1363.16589,365
2022-10-01,2022-10-24,209.73479,352
