# --------------------------------------------------
# nrow : 56
# ncol : 4
# comment : AMS streamflow data for station 203010. Water year starts on the 1/10.
# time_generated : 2026-01-23 09:30:28
# author : unknown
# source_file : get_data.py
# --------------------------------------------------
WATER_YEAR_START,203010_TIMEPEAK,203010_PEAK,203010_NVALID,203010_DAYOFYEAR
1967-10-01,1968-01-13,427.26913,323,104
1968-10-01,1969-08-27,7.22059,316,330
1969-10-01,1969-11-16,54.17523,341,46
1970-10-01,1970-12-10,382.51752,350,70
1971-10-01,1972-02-13,448.78683,340,135
1972-10-01,1972-10-28,386.07361,360,27
1973-10-01,1974-03-11,913.89191,365,161
1974-10-01,1975-03-03,535.09607,359,153
1975-10-01,1976-02-12,548.21765,361,134
1976-10-01,1977-03-04,92.08900,326,154
1977-10-01,1978-03-19,555.48413,334,169
1978-10-01,1979-06-21,309.40771,354,263
1979-10-01,1980-05-10,479.40717,347,222
1980-10-01,1981-02-15,180.07147,341,137
1981-10-01,1982-01-21,197.84430,353,112
1982-10-01,1983-06-23,470.34213,343,265
1983-10-01,1984-04-09,586.25055,366,191
1984-10-01,1984-11-01,179.33243,250,31
1985-10-01,1985-10-28,28.01556,309,27
1986-10-01,1987-05-11,760.28046,348,222
1987-10-01,1988-04-04,474.97449,335,186
1988-10-01,1989-04-02,1043.44946,365,183
1989-10-01,1990-02-03,614.69092,357,125
1990-10-01,1991-03-13,22.84500,316,163
1991-10-01,1991-12-13,444.36401,328,73
1992-10-01,1993-07-12,20.42100,306,284
1993-10-01,1994-03-03,172.91200,349,153
1994-10-01,1995-02-16,226.15300,319,138
1995-10-01,1996-05-06,514.11401,312,218
1996-10-01,1997-02-17,34.74600,344,139
1997-10-01,1998-02-09,8.61900,360,131
1998-10-01,1999-03-04,156.42599,365,154
1999-10-01,2000-01-14,126.83900,366,105
2000-10-01,2001-02-01,917.60999,350,123
2001-10-01,2002-06-16,7.93500,300,258
2002-10-01,2003-06-27,126.37700,316,269
2003-10-01,2004-02-24,455.39999,291,146
2004-10-01,2005-06-30,297.06400,327,272
2005-10-01,2006-03-04,202.72299,346,154
2006-10-01,2006-11-09,27.16700,347,39
2007-10-01,2008-01-05,692.22101,337,96
2008-10-01,2009-05-22,641.30798,360,233
2009-10-01,2009-12-30,98.82700,354,90
2010-10-01,2010-12-27,491.07700,365,87
2011-10-01,2012-01-25,486.47101,366,116
2012-10-01,2013-02-23,499.29999,365,145
2013-10-01,2014-03-28,191.39000,355,178
2014-10-01,2015-05-02,565.90002,365,213
2015-10-01,2016-06-05,387.79810,366,248
2016-10-01,2017-03-31,1073.11243,364,181
2017-10-01,2018-01-03,53.29880,363,94
2018-10-01,2018-10-15,33.84497,350,14
2019-10-01,2020-02-14,477.54697,363,136
2020-10-01,2020-12-15,583.44800,348,75
2021-10-01,2022-03-01,1342.99512,365,151
2022-10-01,2022-10-24,197.85944,357,23
