# --------------------------------------------------
# nrow : 45
# ncol : 8
# comment : AMS streamflow data for station 203012.
# time_generated : 2025-10-20 19:55:51
# author : unknown
# source_file : D010_get_data.py
# --------------------------------------------------
EVENTID,TIMEPEAK,PEAK,NVALYEAR,NVALID,WATER_YEAR,WATER_YEAR_START,WATER_YEAR_END
F001,1978-03-19,157.46144,358,339,1977,1977-10-01,1978-09-30
F002,1979-04-25,86.96920,365,329,1978,1978-10-01,1979-09-30
F003,1980-05-09,44.01220,366,360,1979,1979-10-01,1980-09-30
F004,1981-05-23,184.87390,365,358,1980,1980-10-01,1981-09-30
F005,1982-09-22,67.34793,365,365,1981,1981-10-01,1982-09-30
F006,1983-06-23,66.04757,365,365,1982,1982-10-01,1983-09-30
F007,1984-06-19,212.15227,366,366,1983,1983-10-01,1984-09-30
F008,1985-07-09,459.65787,365,365,1984,1984-10-01,1985-09-30
F009,1985-10-27,27.98824,365,365,1985,1985-10-01,1986-09-30
F010,1987-05-11,241.47809,365,365,1986,1986-10-01,1987-09-30
F011,1988-04-07,197.81084,366,343,1987,1987-10-01,1988-09-30
F012,1989-04-26,56.15691,365,356,1988,1988-10-01,1989-09-30
F013,1990-02-03,64.37274,365,359,1989,1989-10-01,1990-09-30
F014,1991-03-13,179.54837,365,296,1990,1990-10-01,1991-09-30
F015,1991-12-13,44.39300,366,366,1991,1991-10-01,1992-09-30
F016,1993-04-17,18.72600,365,329,1992,1992-10-01,1993-09-30
F017,1994-03-03,87.05200,365,360,1993,1993-10-01,1994-09-30
F018,1995-02-15,116.83600,365,348,1994,1994-10-01,1995-09-30
F019,1996-01-10,193.83899,366,366,1995,1995-10-01,1996-09-30
F020,1997-07-07,26.05200,365,365,1996,1996-10-01,1997-09-30
F021,1998-09-12,21.81300,365,336,1997,1997-10-01,1998-09-30
F022,1999-03-01,242.26300,365,338,1998,1998-10-01,1999-09-30
F023,2000-01-12,30.12600,366,361,1999,1999-10-01,2000-09-30
F024,2001-02-01,216.62300,365,348,2000,2000-10-01,2001-09-30
F025,2002-05-05,45.62000,365,360,2001,2001-10-01,2002-09-30
F026,2003-06-26,110.86700,365,326,2002,2002-10-01,2003-09-30
F027,2004-02-25,61.87100,366,351,2003,2003-10-01,2004-09-30
F028,2005-06-30,248.82100,365,339,2004,2004-10-01,2005-09-30
F029,2006-01-19,336.49899,365,360,2005,2005-10-01,2006-09-30
F030,2007-08-20,25.17200,365,365,2006,2006-10-01,2007-09-30
F031,2008-01-03,93.36300,366,352,2007,2007-10-01,2008-09-30
F032,2009-05-22,165.87616,365,364,2008,2008-10-01,2009-09-30
F033,2010-02-08,60.28448,365,310,2009,2009-10-01,2010-09-30
F034,2010-10-03,84.85659,365,364,2010,2010-10-01,2011-09-30
F035,2012-01-26,94.51443,366,366,2011,2011-10-01,2012-09-30
F036,2013-01-28,61.95042,365,365,2012,2012-10-01,2013-09-30
F037,2014-08-28,41.54288,365,365,2013,2013-10-01,2014-09-30
F038,2015-05-02,92.06453,365,365,2014,2014-10-01,2015-09-30
F039,2016-06-05,280.02997,366,365,2015,2015-10-01,2016-09-30
F040,2017-03-31,203.40700,365,365,2016,2016-10-01,2017-09-30
F041,2018-02-24,18.44000,365,365,2017,2017-10-01,2018-09-30
F042,2019-06-26,25.82300,365,354,2018,2018-10-01,2019-09-30
F043,2020-02-07,140.72699,366,351,2019,2019-10-01,2020-09-30
F044,2021-03-22,124.63006,365,365,2020,2020-10-01,2021-09-30
F045,2022-03-30,366.60855,365,365,2021,2021-10-01,2022-09-30
