# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:51:09
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,203010_PRECIPITATION_TIMEPEAK,203010_PRECIPITATION_PEAK,203010_PRECIPITATION_NVALID,203010_PRECIPITATION_DAYOFYEAR,203010_QTOT_TIMEPEAK,203010_QTOT_PEAK,203010_QTOT_NVALID,203010_QTOT_DAYOFYEAR,203010_SMPFULL_TIMEPEAK,203010_SMPFULL_PEAK,203010_SMPFULL_NVALID,203010_SMPFULL_DAYOFYEAR
1911-10-01,1912-06-25 09:00:00,81.07880,365,268,1912-06-25 09:00:00,19.07831,365,268,1912-06-25 09:00:00,0.76877,365,268
1912-10-01,1913-06-22 09:00:00,98.38120,364,264,1913-04-11 09:00:00,22.46368,364,192,1913-06-22 09:00:00,0.80480,364,264
1913-10-01,1914-02-20 09:00:00,62.04153,364,142,1914-07-22 09:00:00,10.26078,364,294,1914-03-11 09:00:00,0.75492,364,161
1914-10-01,1914-10-17 09:00:00,44.01541,364,16,1914-10-18 09:00:00,2.64135,364,17,1914-10-17 09:00:00,0.65152,364,16
1915-10-01,1916-04-10 09:00:00,97.78561,365,192,1916-04-10 09:00:00,41.86905,365,192,1916-04-10 09:00:00,0.81499,365,192
1916-10-01,1917-02-04 09:00:00,93.01865,364,126,1917-02-05 09:00:00,27.87762,364,127,1917-02-05 09:00:00,0.79773,364,127
1917-10-01,1917-11-09 09:00:00,127.57004,364,39,1917-11-09 09:00:00,28.66988,364,39,1917-11-09 09:00:00,0.81278,364,39
1918-10-01,1919-05-29 09:00:00,137.74835,364,240,1919-05-30 09:00:00,44.02527,364,241,1919-05-29 09:00:00,0.82479,364,240
1919-10-01,1920-01-07 09:00:00,62.63116,365,98,1920-01-22 09:00:00,14.10428,365,113,1920-01-22 09:00:00,0.77728,365,113
1920-10-01,1921-07-23 09:00:00,173.34708,364,295,1921-07-23 09:00:00,44.46318,364,295,1921-07-23 09:00:00,0.83022,364,295
1921-10-01,1921-12-28 09:00:00,159.98972,364,88,1921-12-29 09:00:00,26.35458,364,89,1921-12-28 09:00:00,0.82227,364,88
1922-10-01,1923-04-09 09:00:00,49.39024,364,190,1923-04-28 09:00:00,18.36853,364,209,1923-04-28 09:00:00,0.78223,364,209
1923-10-01,1924-06-13 09:00:00,124.37527,365,256,1924-06-13 09:00:00,24.95218,365,256,1924-06-13 09:00:00,0.78583,365,256
1924-10-01,1925-03-12 09:00:00,101.79620,364,162,1925-03-12 09:00:00,59.46058,364,162,1925-03-12 09:00:00,0.81665,364,162
1925-10-01,1926-01-01 09:00:00,50.82158,364,92,1926-01-02 09:00:00,6.68065,364,93,1926-06-24 09:00:00,0.68680,364,266
1926-10-01,1927-01-24 09:00:00,80.42138,364,115,1927-01-24 09:00:00,34.30798,364,115,1927-01-24 09:00:00,0.80649,364,115
1927-10-01,1928-04-19 09:00:00,87.68501,365,201,1928-02-20 09:00:00,29.70382,365,142,1928-02-20 09:00:00,0.78772,365,142
1928-10-01,1929-03-01 09:00:00,214.23955,364,151,1929-03-01 09:00:00,54.82125,364,151,1929-03-01 09:00:00,0.83716,364,151
1929-10-01,1930-04-15 09:00:00,106.06076,364,196,1930-04-15 09:00:00,21.61128,364,196,1930-06-01 09:00:00,0.80085,364,243
1930-10-01,1931-02-06 09:00:00,226.16235,364,128,1931-02-07 09:00:00,83.22072,364,129,1931-02-06 09:00:00,0.84029,364,128
1931-10-01,1931-12-01 09:00:00,51.54889,365,61,1931-12-09 09:00:00,12.75862,365,69,1931-12-09 09:00:00,0.75727,365,69
1932-10-01,1933-04-05 09:00:00,99.04478,364,186,1933-04-06 09:00:00,25.73005,364,187,1933-04-06 09:00:00,0.77608,364,187
1933-10-01,1934-05-09 09:00:00,122.36813,364,220,1934-05-09 09:00:00,39.24677,364,220,1934-05-09 09:00:00,0.81996,364,220
1934-10-01,1935-02-20 09:00:00,47.49002,364,142,1935-02-23 09:00:00,5.22429,364,145,1935-03-13 09:00:00,0.67786,364,163
1935-10-01,1936-03-03 09:00:00,82.77267,365,154,1936-03-04 09:00:00,10.37311,365,155,1936-03-23 09:00:00,0.73373,365,174
1936-10-01,1937-03-17 09:00:00,76.81213,364,167,1937-03-17 09:00:00,36.71392,364,167,1937-03-17 09:00:00,0.80404,364,167
1937-10-01,1938-01-20 09:00:00,143.15730,364,111,1938-01-20 09:00:00,49.84963,364,111,1938-01-20 09:00:00,0.82914,364,111
1938-10-01,1939-03-06 09:00:00,122.13345,364,156,1939-03-06 09:00:00,37.38445,364,156,1939-03-06 09:00:00,0.82391,364,156
1939-10-01,1940-03-02 09:00:00,63.32979,365,153,1940-03-02 09:00:00,14.24761,365,153,1940-03-19 09:00:00,0.76675,365,170
1940-10-01,1941-05-30 09:00:00,51.03292,364,241,1941-06-01 09:00:00,14.88816,364,243,1941-02-12 09:00:00,0.73291,364,134
1941-10-01,1942-02-10 09:00:00,102.58130,364,132,1942-02-10 09:00:00,27.92444,364,132,1942-02-10 09:00:00,0.81686,364,132
1942-10-01,1942-10-12 09:00:00,71.80225,364,11,1942-12-31 09:00:00,14.01541,364,91,1943-01-06 09:00:00,0.75849,364,97
1943-10-01,1943-12-30 09:00:00,89.30727,365,90,1943-12-31 09:00:00,29.89014,365,91,1943-12-31 09:00:00,0.79852,365,91
1944-10-01,1945-06-11 09:00:00,184.11395,364,253,1945-06-12 09:00:00,72.63196,364,254,1945-06-11 09:00:00,0.83606,364,253
1945-10-01,1946-02-18 09:00:00,116.56965,364,140,1946-03-25 09:00:00,36.73880,364,175,1946-02-18 09:00:00,0.81599,364,140
1946-10-01,1947-01-24 09:00:00,152.04358,364,115,1947-01-26 09:00:00,28.40396,364,117,1947-01-25 09:00:00,0.80451,364,116
1947-10-01,1948-06-16 09:00:00,165.64604,365,259,1948-06-16 09:00:00,66.11048,365,259,1948-06-16 09:00:00,0.83491,365,259
1948-10-01,1949-01-10 09:00:00,61.51475,364,101,1949-03-28 09:00:00,29.38129,364,178,1949-03-28 09:00:00,0.79661,364,178
1949-10-01,1949-10-25 09:00:00,135.45514,364,24,1950-06-24 09:00:00,54.14868,364,266,1950-06-23 09:00:00,0.81978,364,265
1950-10-01,1951-03-19 09:00:00,118.80434,364,169,1951-01-27 09:00:00,43.90645,364,118,1951-01-26 09:00:00,0.81263,364,117
1951-10-01,1952-02-25 09:00:00,51.38512,365,147,1952-08-15 09:00:00,8.60564,365,319,1952-03-24 09:00:00,0.69928,365,175
