# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:52:13
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,H058176_PRECIPITATION_TIMEPEAK,H058176_PRECIPITATION_PEAK,H058176_PRECIPITATION_NVALID,H058176_PRECIPITATION_DAYOFYEAR,H058176_QTOT_TIMEPEAK,H058176_QTOT_PEAK,H058176_QTOT_NVALID,H058176_QTOT_DAYOFYEAR,H058176_SMPFULL_TIMEPEAK,H058176_SMPFULL_PEAK,H058176_SMPFULL_NVALID,H058176_SMPFULL_DAYOFYEAR
1911-10-01,1912-06-25 09:00:00,73.31673,365,268,1912-06-25 09:00:00,17.39971,365,268,1912-06-25 09:00:00,0.75365,365,268
1912-10-01,1913-06-22 09:00:00,97.29751,364,264,1913-04-11 09:00:00,20.31664,364,192,1913-06-22 09:00:00,0.79981,364,264
1913-10-01,1914-05-09 09:00:00,55.26569,364,220,1914-07-22 09:00:00,18.71730,364,294,1914-07-22 09:00:00,0.76971,364,294
1914-10-01,1914-10-17 09:00:00,51.67565,364,16,1914-10-17 09:00:00,6.51709,364,16,1914-10-17 09:00:00,0.68199,364,16
1915-10-01,1916-02-27 09:00:00,82.73018,365,149,1916-04-10 09:00:00,38.21348,365,192,1916-04-10 09:00:00,0.79850,365,192
1916-10-01,1917-02-04 09:00:00,85.07303,364,126,1917-02-05 09:00:00,22.17873,364,127,1917-02-05 09:00:00,0.77512,364,127
1917-10-01,1917-11-09 09:00:00,160.46106,364,39,1917-11-09 09:00:00,42.35594,364,39,1917-11-09 09:00:00,0.81908,364,39
1918-10-01,1919-05-29 09:00:00,149.94623,364,240,1919-05-30 09:00:00,49.89868,364,241,1919-05-29 09:00:00,0.81995,364,240
1919-10-01,1920-01-07 09:00:00,64.90221,365,98,1920-01-22 09:00:00,15.47492,365,113,1920-01-22 09:00:00,0.77281,365,113
1920-10-01,1921-07-23 09:00:00,185.66766,364,295,1921-05-16 09:00:00,61.76186,364,227,1921-07-23 09:00:00,0.82364,364,295
1921-10-01,1921-12-28 09:00:00,142.25381,364,88,1922-02-21 09:00:00,21.14383,364,143,1921-12-28 09:00:00,0.77801,364,88
1922-10-01,1923-04-09 09:00:00,67.91992,364,190,1923-04-28 09:00:00,25.70235,364,209,1923-04-28 09:00:00,0.79012,364,209
1923-10-01,1924-06-13 09:00:00,135.06877,365,256,1924-06-13 09:00:00,30.78207,365,256,1924-06-13 09:00:00,0.78670,365,256
1924-10-01,1925-03-12 09:00:00,83.84849,364,162,1925-03-12 09:00:00,51.42041,364,162,1925-03-12 09:00:00,0.80285,364,162
1925-10-01,1926-01-01 09:00:00,61.70444,364,92,1926-01-02 09:00:00,11.78578,364,93,1925-11-10 09:00:00,0.72453,364,40
1926-10-01,1927-01-24 09:00:00,88.39845,364,115,1927-01-24 09:00:00,37.72406,364,115,1927-01-24 09:00:00,0.80448,364,115
1927-10-01,1927-11-29 09:00:00,106.17909,365,59,1927-12-01 09:00:00,26.41789,365,61,1927-11-29 09:00:00,0.78117,365,59
1928-10-01,1929-03-01 09:00:00,181.53535,364,151,1929-03-02 09:00:00,47.02268,364,152,1929-03-01 09:00:00,0.82503,364,151
1929-10-01,1930-04-15 09:00:00,107.00542,364,196,1930-04-15 09:00:00,24.81054,364,196,1930-06-01 09:00:00,0.79857,364,243
1930-10-01,1931-02-06 09:00:00,225.92804,364,128,1931-02-07 09:00:00,77.83004,364,129,1931-02-06 09:00:00,0.83122,364,128
1931-10-01,1931-12-01 09:00:00,57.38554,365,61,1931-12-09 09:00:00,15.97768,365,69,1931-12-09 09:00:00,0.76867,365,69
1932-10-01,1933-04-05 09:00:00,100.31828,364,186,1933-04-06 09:00:00,29.80907,364,187,1933-07-26 09:00:00,0.78090,364,298
1933-10-01,1934-05-09 09:00:00,132.39406,364,220,1934-05-09 09:00:00,49.08787,364,220,1934-05-09 09:00:00,0.81701,364,220
1934-10-01,1935-01-15 09:00:00,47.72483,364,106,1935-07-12 09:00:00,7.67419,364,284,1935-07-12 09:00:00,0.68980,364,284
1935-10-01,1936-03-03 09:00:00,69.10455,365,154,1936-05-25 09:00:00,7.05030,365,237,1936-03-25 09:00:00,0.70106,365,176
1936-10-01,1937-02-11 09:00:00,102.31432,364,133,1937-03-17 09:00:00,29.91354,364,167,1937-03-17 09:00:00,0.78713,364,167
1937-10-01,1938-04-10 09:00:00,123.56918,364,191,1938-05-27 09:00:00,42.20589,364,238,1938-01-20 09:00:00,0.81244,364,111
1938-10-01,1939-03-06 09:00:00,136.40796,364,156,1939-03-06 09:00:00,41.65816,364,156,1939-03-06 09:00:00,0.81864,364,156
1939-10-01,1940-03-02 09:00:00,77.33334,365,153,1940-03-02 09:00:00,12.81811,365,153,1940-03-19 09:00:00,0.74807,365,170
1940-10-01,1940-12-03 09:00:00,82.43619,364,63,1941-06-01 09:00:00,17.27774,364,243,1941-05-31 09:00:00,0.74877,364,242
1941-10-01,1942-02-10 09:00:00,108.34613,364,132,1942-02-10 09:00:00,28.01337,364,132,1942-02-10 09:00:00,0.81154,364,132
1942-10-01,1942-10-12 09:00:00,77.86671,364,11,1943-01-06 09:00:00,14.08949,364,97,1943-01-06 09:00:00,0.75752,364,97
1943-10-01,1943-12-30 09:00:00,80.61164,365,90,1944-01-29 09:00:00,34.34069,365,120,1944-01-29 09:00:00,0.79628,365,120
1944-10-01,1945-06-11 09:00:00,175.62784,364,253,1945-06-12 09:00:00,72.97988,364,254,1945-06-11 09:00:00,0.82693,364,253
1945-10-01,1946-04-04 09:00:00,109.31857,364,185,1946-03-25 09:00:00,35.26405,364,175,1946-04-04 09:00:00,0.80717,364,185
1946-10-01,1947-01-24 09:00:00,144.18237,364,115,1947-01-26 09:00:00,23.61454,364,117,1947-01-26 09:00:00,0.78668,364,117
1947-10-01,1948-06-16 09:00:00,175.96701,365,259,1948-06-16 09:00:00,66.99748,365,259,1948-06-16 09:00:00,0.82777,365,259
1948-10-01,1949-03-27 09:00:00,76.78207,364,177,1949-03-28 09:00:00,30.47282,364,178,1949-03-27 09:00:00,0.79022,364,177
1949-10-01,1949-10-25 09:00:00,132.14992,364,24,1950-06-24 09:00:00,47.06534,364,266,1950-06-23 09:00:00,0.80304,364,265
1950-10-01,1951-01-26 09:00:00,103.56814,364,117,1951-01-27 09:00:00,36.60470,364,118,1951-03-19 09:00:00,0.79579,364,169
1951-10-01,1952-02-25 09:00:00,63.77355,365,147,1952-06-16 09:00:00,9.06344,365,259,1952-08-15 09:00:00,0.70874,365,319
1952-10-01,1953-01-23 09:00:00,117.80602,364,114,1953-02-22 09:00:00,53.18159,364,144,1953-02-20 09:00:00,0.80768,364,142
1953-10-01,1954-02-21 09:00:00,241.59309,364,143,1954-02-21 09:00:00,94.00941,364,143,1954-02-21 09:00:00,0.83404,364,143
1954-10-01,1955-03-28 09:00:00,146.57306,364,178,1955-05-01 09:00:00,38.37629,364,212,1955-04-30 09:00:00,0.80214,364,211
1955-10-01,1956-02-18 09:00:00,179.85025,365,140,1956-02-19 09:00:00,47.07421,365,141,1956-02-18 09:00:00,0.82328,365,140
1956-10-01,1956-12-22 09:00:00,85.98528,364,82,1957-08-28 09:00:00,6.96501,364,331,1957-01-21 09:00:00,0.69661,364,112
1957-10-01,1958-04-11 09:00:00,76.78065,364,192,1958-08-07 09:00:00,20.34711,364,310,1958-08-06 09:00:00,0.77611,364,309
1958-10-01,1959-01-22 09:00:00,130.62122,364,113,1959-02-18 09:00:00,36.62829,364,140,1959-02-18 09:00:00,0.81145,364,140
1959-10-01,1959-11-12 09:00:00,78.17578,365,42,1959-11-13 09:00:00,30.60785,365,43,1959-11-13 09:00:00,0.77917,365,43
