# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:47:02
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,RICHMOND_PRECIPITATION_TIMEPEAK,RICHMOND_PRECIPITATION_PEAK,RICHMOND_PRECIPITATION_NVALID,RICHMOND_PRECIPITATION_DAYOFYEAR,RICHMOND_QTOT_TIMEPEAK,RICHMOND_QTOT_PEAK,RICHMOND_QTOT_NVALID,RICHMOND_QTOT_DAYOFYEAR,RICHMOND_SMPFULL_TIMEPEAK,RICHMOND_SMPFULL_PEAK,RICHMOND_SMPFULL_NVALID,RICHMOND_SMPFULL_DAYOFYEAR
1911-10-01,1912-06-25 09:00:00,60.72147,365,268,1912-06-25 09:00:00,11.97036,365,268,1912-06-25 09:00:00,0.70830,365,268
1912-10-01,1913-06-22 09:00:00,74.16492,364,264,1913-06-22 09:00:00,12.49940,364,264,1913-06-22 09:00:00,0.75182,364,264
1913-10-01,1914-05-09 09:00:00,46.98050,364,220,1914-07-22 09:00:00,11.06249,364,294,1914-07-22 09:00:00,0.68218,364,294
1914-10-01,1914-10-17 09:00:00,42.71522,364,16,1914-10-17 09:00:00,2.93751,364,16,1914-10-17 09:00:00,0.57438,364,16
1915-10-01,1916-02-27 09:00:00,64.71542,365,149,1916-04-10 09:00:00,31.65888,365,192,1916-04-10 09:00:00,0.77784,365,192
1916-10-01,1917-02-04 09:00:00,71.47076,364,126,1917-02-05 09:00:00,14.70581,364,127,1917-02-05 09:00:00,0.72762,364,127
1917-10-01,1917-11-09 09:00:00,125.22266,364,39,1917-11-09 09:00:00,31.58639,364,39,1917-11-09 09:00:00,0.78203,364,39
1918-10-01,1919-05-29 09:00:00,102.42889,364,240,1919-05-30 09:00:00,37.20658,364,241,1919-05-29 09:00:00,0.77360,364,240
1919-10-01,1920-03-03 09:00:00,50.27990,365,154,1920-01-22 09:00:00,6.30975,365,113,1920-01-22 09:00:00,0.68716,365,113
1920-10-01,1921-07-23 09:00:00,147.44368,364,295,1921-05-16 09:00:00,47.58936,364,227,1921-07-23 09:00:00,0.78937,364,295
1921-10-01,1921-12-28 09:00:00,115.45197,364,88,1922-02-21 09:00:00,13.73342,364,143,1921-12-29 09:00:00,0.74853,364,89
1922-10-01,1923-04-09 09:00:00,56.39724,364,190,1923-04-28 09:00:00,14.31875,364,209,1923-04-28 09:00:00,0.74215,364,209
1923-10-01,1924-06-13 09:00:00,85.29967,365,256,1924-06-13 09:00:00,13.35593,365,256,1924-07-10 09:00:00,0.70239,365,283
1924-10-01,1925-03-12 09:00:00,67.51909,364,162,1925-03-12 09:00:00,32.81419,364,162,1925-03-12 09:00:00,0.77467,364,162
1925-10-01,1925-11-08 09:00:00,56.14754,364,38,1925-11-10 09:00:00,6.84840,364,40,1925-11-10 09:00:00,0.65697,364,40
1926-10-01,1927-01-24 09:00:00,68.12046,364,115,1927-01-27 09:00:00,32.32578,364,118,1927-01-24 09:00:00,0.77357,364,115
1927-10-01,1927-11-28 09:00:00,68.09853,365,58,1928-02-20 09:00:00,22.20227,365,142,1928-02-20 09:00:00,0.76257,365,142
1928-10-01,1929-03-01 09:00:00,115.65889,364,151,1929-06-30 09:00:00,27.57003,364,272,1929-03-01 09:00:00,0.77754,364,151
1929-10-01,1930-04-15 09:00:00,76.88162,364,196,1930-05-10 09:00:00,17.14192,364,221,1930-06-01 09:00:00,0.76235,364,243
1930-10-01,1931-02-06 09:00:00,131.28143,364,128,1931-02-07 09:00:00,40.29507,364,129,1931-02-06 09:00:00,0.78682,364,128
1931-10-01,1931-12-09 09:00:00,49.73036,365,69,1931-12-10 09:00:00,10.87222,365,70,1931-12-09 09:00:00,0.74181,365,69
1932-10-01,1933-04-05 09:00:00,67.23428,364,186,1933-07-26 09:00:00,11.45970,364,298,1933-07-26 09:00:00,0.70868,364,298
1933-10-01,1934-05-09 09:00:00,87.16724,364,220,1934-05-09 09:00:00,30.01992,364,220,1934-05-09 09:00:00,0.76994,364,220
1934-10-01,1934-12-10 09:00:00,38.49355,364,70,1935-03-08 09:00:00,3.93039,364,158,1935-03-13 09:00:00,0.61459,364,163
1935-10-01,1936-03-03 09:00:00,65.30389,365,154,1936-03-24 09:00:00,3.46918,365,175,1936-03-24 09:00:00,0.64997,365,175
1936-10-01,1937-02-11 09:00:00,76.73260,364,133,1937-03-17 09:00:00,29.60713,364,167,1937-03-17 09:00:00,0.77908,364,167
1937-10-01,1938-01-20 09:00:00,116.13995,364,111,1938-05-27 09:00:00,27.92227,364,238,1938-01-20 09:00:00,0.76896,364,111
1938-10-01,1939-03-06 09:00:00,91.90453,364,156,1939-03-06 09:00:00,15.64547,364,156,1939-03-15 09:00:00,0.76337,364,165
1939-10-01,1940-03-19 09:00:00,67.10658,365,170,1940-03-19 09:00:00,8.54045,365,170,1940-03-19 09:00:00,0.70511,365,170
1940-10-01,1941-05-30 09:00:00,49.77917,364,241,1941-06-01 09:00:00,10.99322,364,243,1941-02-12 09:00:00,0.70845,364,134
1941-10-01,1942-02-10 09:00:00,79.31213,364,132,1942-02-10 09:00:00,13.92428,364,132,1942-02-10 09:00:00,0.74117,364,132
1942-10-01,1942-10-12 09:00:00,62.47229,364,11,1942-12-31 09:00:00,7.80836,364,91,1943-01-06 09:00:00,0.68250,364,97
1943-10-01,1944-08-24 09:00:00,72.24506,365,328,1944-01-01 09:00:00,20.69920,365,92,1944-01-29 09:00:00,0.75493,365,120
1944-10-01,1945-06-11 09:00:00,151.97104,364,253,1945-06-12 09:00:00,60.36824,364,254,1945-06-11 09:00:00,0.80220,364,253
1945-10-01,1946-04-04 09:00:00,87.20283,364,185,1946-03-26 09:00:00,25.43044,364,176,1946-04-04 09:00:00,0.78405,364,185
1946-10-01,1947-01-24 09:00:00,124.87363,364,115,1947-01-26 09:00:00,18.01409,364,117,1947-02-14 09:00:00,0.76713,364,136
1947-10-01,1948-06-16 09:00:00,156.84288,365,259,1948-06-16 09:00:00,59.25692,365,259,1948-06-16 09:00:00,0.80202,365,259
1948-10-01,1949-01-10 09:00:00,67.48962,364,101,1949-03-28 09:00:00,18.81557,364,178,1949-03-28 09:00:00,0.75423,364,178
1949-10-01,1949-10-25 09:00:00,108.93007,364,24,1950-06-24 09:00:00,40.82464,364,266,1950-06-23 09:00:00,0.77557,364,265
1950-10-01,1951-01-26 09:00:00,90.97563,364,117,1951-01-27 09:00:00,27.13631,364,118,1951-01-27 09:00:00,0.76182,364,118
1951-10-01,1952-02-25 09:00:00,41.21965,365,147,1952-08-16 09:00:00,5.39694,365,320,1952-04-14 09:00:00,0.64003,365,196
1952-10-01,1953-01-23 09:00:00,98.27180,364,114,1953-02-22 09:00:00,36.02882,364,144,1953-03-24 09:00:00,0.78302,364,174
1953-10-01,1954-02-21 09:00:00,233.39037,364,143,1954-02-21 09:00:00,85.95547,364,143,1954-02-21 09:00:00,0.81792,364,143
1954-10-01,1955-03-28 09:00:00,131.51263,364,178,1955-03-29 09:00:00,26.86700,364,179,1955-04-30 09:00:00,0.77742,364,211
