# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:47:06
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,RichmondWilsonsJcn_PRECIPITATION_TIMEPEAK,RichmondWilsonsJcn_PRECIPITATION_PEAK,RichmondWilsonsJcn_PRECIPITATION_NVALID,RichmondWilsonsJcn_PRECIPITATION_DAYOFYEAR,RichmondWilsonsJcn_QTOT_TIMEPEAK,RichmondWilsonsJcn_QTOT_PEAK,RichmondWilsonsJcn_QTOT_NVALID,RichmondWilsonsJcn_QTOT_DAYOFYEAR,RichmondWilsonsJcn_SMPFULL_TIMEPEAK,RichmondWilsonsJcn_SMPFULL_PEAK,RichmondWilsonsJcn_SMPFULL_NVALID,RichmondWilsonsJcn_SMPFULL_DAYOFYEAR
1911-10-01,1912-03-02 09:00:00,59.99059,365,153,1912-06-25 09:00:00,9.46903,365,268,1912-07-30 09:00:00,0.68865,365,303
1912-10-01,1913-06-22 09:00:00,72.96370,364,264,1913-06-22 09:00:00,13.32589,364,264,1913-06-22 09:00:00,0.78373,364,264
1913-10-01,1914-07-21 09:00:00,47.05131,364,293,1914-07-22 09:00:00,10.07953,364,294,1914-07-22 09:00:00,0.68308,364,294
1914-10-01,1914-10-17 09:00:00,50.82578,364,16,1914-10-17 09:00:00,3.51673,364,16,1914-10-17 09:00:00,0.57179,364,16
1915-10-01,1916-04-09 09:00:00,68.69348,365,191,1916-04-10 09:00:00,29.56894,365,192,1916-04-10 09:00:00,0.78564,365,192
1916-10-01,1917-02-04 09:00:00,73.26149,364,126,1917-02-05 09:00:00,13.06032,364,127,1917-02-05 09:00:00,0.75266,364,127
1917-10-01,1917-11-09 09:00:00,141.92876,364,39,1917-11-09 09:00:00,37.25373,364,39,1917-11-09 09:00:00,0.81539,364,39
1918-10-01,1919-05-29 09:00:00,106.73421,364,240,1919-05-30 09:00:00,41.10289,364,241,1919-05-29 09:00:00,0.80481,364,240
1919-10-01,1920-03-03 09:00:00,62.92578,365,154,1920-03-03 09:00:00,7.72057,365,154,1920-01-22 09:00:00,0.69530,365,113
1920-10-01,1921-07-23 09:00:00,159.34262,364,295,1921-05-16 09:00:00,54.15191,364,227,1921-07-23 09:00:00,0.81604,364,295
1921-10-01,1921-12-28 09:00:00,113.59173,364,88,1922-02-21 09:00:00,9.97950,364,143,1922-03-01 09:00:00,0.74989,364,151
1922-10-01,1923-04-09 09:00:00,61.66956,364,190,1923-04-28 09:00:00,13.37430,364,209,1923-04-26 09:00:00,0.76050,364,207
1923-10-01,1924-06-13 09:00:00,80.91809,365,256,1924-06-14 09:00:00,7.75867,365,257,1924-07-22 09:00:00,0.69301,365,295
1924-10-01,1925-03-12 09:00:00,87.43329,364,162,1925-03-12 09:00:00,34.63245,364,162,1925-03-12 09:00:00,0.80054,364,162
1925-10-01,1926-01-01 09:00:00,64.04652,364,92,1926-01-02 09:00:00,5.08230,364,93,1925-11-10 09:00:00,0.66905,364,40
1926-10-01,1927-01-24 09:00:00,70.41485,364,115,1927-01-27 09:00:00,28.70242,364,118,1927-01-24 09:00:00,0.79136,364,115
1927-10-01,1928-04-19 09:00:00,70.62850,365,201,1928-04-19 09:00:00,12.72247,365,201,1928-02-20 09:00:00,0.74696,365,142
1928-10-01,1929-06-30 09:00:00,124.43060,364,272,1929-06-30 09:00:00,28.99446,364,272,1929-03-01 09:00:00,0.80541,364,151
1929-10-01,1930-04-15 09:00:00,85.99239,364,196,1930-06-02 09:00:00,15.66982,364,244,1930-06-01 09:00:00,0.77817,364,243
1930-10-01,1931-02-06 09:00:00,116.18742,364,128,1931-04-27 09:00:00,38.63487,364,208,1931-02-06 09:00:00,0.81009,364,128
1931-10-01,1931-12-09 09:00:00,57.65650,365,69,1931-12-10 09:00:00,11.83602,365,70,1931-12-10 09:00:00,0.76202,365,70
1932-10-01,1933-05-18 09:00:00,85.73187,364,229,1933-05-19 09:00:00,8.84731,364,230,1933-07-26 09:00:00,0.74263,364,298
1933-10-01,1934-05-09 09:00:00,94.44969,364,220,1934-05-09 09:00:00,30.08045,364,220,1934-05-09 09:00:00,0.80257,364,220
1934-10-01,1935-02-20 09:00:00,51.81491,364,142,1935-07-12 09:00:00,4.79540,364,284,1935-03-16 09:00:00,0.62124,364,166
1935-10-01,1936-03-03 09:00:00,80.36961,365,154,1936-03-24 09:00:00,3.49486,365,175,1936-03-23 09:00:00,0.68706,365,174
1936-10-01,1937-02-11 09:00:00,84.47823,364,133,1937-03-17 09:00:00,28.11628,364,167,1937-03-17 09:00:00,0.79094,364,167
1937-10-01,1938-01-20 09:00:00,126.74401,364,111,1938-05-27 09:00:00,28.06760,364,238,1938-04-10 09:00:00,0.79800,364,191
1938-10-01,1939-03-06 09:00:00,90.15479,364,156,1939-03-06 09:00:00,10.19702,364,156,1939-03-15 09:00:00,0.76146,364,165
1939-10-01,1940-03-02 09:00:00,70.56472,365,153,1940-03-19 09:00:00,6.39646,365,170,1940-03-19 09:00:00,0.70059,365,170
1940-10-01,1941-05-30 09:00:00,64.44372,364,241,1941-05-31 09:00:00,14.48553,364,242,1941-02-12 09:00:00,0.70284,364,134
1941-10-01,1942-02-10 09:00:00,72.36591,364,132,1942-02-11 09:00:00,5.10761,364,133,1942-02-10 09:00:00,0.76836,364,132
1942-10-01,1942-10-12 09:00:00,68.92403,364,11,1943-01-01 09:00:00,5.48283,364,92,1943-01-06 09:00:00,0.61206,364,97
1943-10-01,1944-08-24 09:00:00,59.52683,365,328,1944-01-29 09:00:00,16.44500,365,120,1944-01-29 09:00:00,0.77234,365,120
1944-10-01,1945-06-11 09:00:00,139.93083,364,253,1945-06-12 09:00:00,53.81131,364,254,1945-06-11 09:00:00,0.81125,364,253
1945-10-01,1946-04-04 09:00:00,106.21530,364,185,1946-04-04 09:00:00,28.10122,364,185,1946-04-04 09:00:00,0.80311,364,185
1946-10-01,1947-01-24 09:00:00,115.29078,364,115,1947-02-15 09:00:00,18.07657,364,137,1947-02-14 09:00:00,0.77900,364,136
1947-10-01,1948-06-16 09:00:00,190.60641,365,259,1948-06-16 09:00:00,69.79379,365,259,1948-06-16 09:00:00,0.82341,365,259
1948-10-01,1949-01-10 09:00:00,74.18671,364,101,1949-03-28 09:00:00,16.08301,364,178,1949-03-28 09:00:00,0.76433,364,178
1949-10-01,1949-10-25 09:00:00,90.88231,364,24,1950-06-24 09:00:00,36.44928,364,266,1950-06-23 09:00:00,0.78792,364,265
1950-10-01,1951-01-26 09:00:00,91.55642,364,117,1951-01-27 09:00:00,19.94343,364,118,1951-01-27 09:00:00,0.76533,364,118
1951-10-01,1952-02-25 09:00:00,32.47856,365,147,1952-08-16 09:00:00,5.64639,365,320,1952-04-14 09:00:00,0.59359,365,196
1952-10-01,1953-01-23 09:00:00,111.37913,364,114,1953-02-22 09:00:00,32.90040,364,144,1953-03-24 09:00:00,0.79253,364,174
1953-10-01,1954-02-21 09:00:00,201.54938,364,143,1954-02-22 09:00:00,76.75749,364,144,1954-02-21 09:00:00,0.82474,364,143
1954-10-01,1955-03-28 09:00:00,119.93140,364,178,1955-05-01 09:00:00,25.42800,364,212,1955-04-30 09:00:00,0.79408,364,211
1955-10-01,1956-02-18 09:00:00,147.08708,365,140,1956-02-19 09:00:00,38.76469,365,141,1956-02-18 09:00:00,0.81157,365,140
1956-10-01,1956-12-22 09:00:00,71.93605,364,82,1957-02-17 09:00:00,1.45152,364,139,1957-02-16 09:00:00,0.52018,364,138
1957-10-01,1958-04-11 09:00:00,52.40082,364,192,1958-04-11 09:00:00,9.41837,364,192,1958-04-11 09:00:00,0.65599,364,192
1958-10-01,1959-01-22 09:00:00,140.66824,364,113,1959-02-18 09:00:00,33.43360,364,140,1959-02-18 09:00:00,0.80617,364,140
1959-10-01,1959-11-12 09:00:00,56.39593,365,42,1959-11-13 09:00:00,15.21764,365,43,1959-11-13 09:00:00,0.71698,365,43
1960-10-01,1961-02-19 09:00:00,102.38863,364,141,1961-02-20 09:00:00,9.13308,364,142,1961-02-20 09:00:00,0.72486,364,142
1961-10-01,1962-07-10 09:00:00,154.65407,364,282,1962-07-11 09:00:00,49.58737,364,283,1962-07-11 09:00:00,0.81014,364,283
1962-10-01,1962-12-24 09:00:00,88.61067,364,84,1963-05-08 09:00:00,73.03957,364,219,1963-05-08 09:00:00,0.82381,364,219
1963-10-01,,,365,-1,1964-04-23 09:00:00,13.89659,365,205,1964-04-23 09:00:00,0.76923,365,205
1964-10-01,1965-07-20 09:00:00,156.50723,364,292,1965-07-21 09:00:00,31.55112,364,293,1965-07-21 09:00:00,0.79245,364,293
1965-10-01,1966-06-11 09:00:00,67.82588,364,253,1966-06-11 09:00:00,2.42501,364,253,1965-12-16 09:00:00,0.63475,364,76
1966-10-01,1967-03-19 09:00:00,79.91598,364,169,1967-06-14 09:00:00,31.08795,364,256,1967-03-19 09:00:00,0.79816,364,169
1967-10-01,1968-01-10 09:00:00,69.79459,365,101,1968-01-13 09:00:00,19.81061,365,104,1968-01-13 09:00:00,0.78569,365,104
1968-10-01,1969-05-13 09:00:00,60.00637,364,224,1969-05-29 09:00:00,1.81911,364,240,1969-05-29 09:00:00,0.63937,364,240
1969-10-01,1969-12-24 09:00:00,46.97021,364,84,1970-02-27 09:00:00,2.77423,364,149,1970-02-27 09:00:00,0.55888,364,149
1970-10-01,1970-12-10 09:00:00,65.15016,364,70,1971-02-20 09:00:00,10.77939,364,142,1971-03-05 09:00:00,0.76965,364,155
1971-10-01,1972-04-03 09:00:00,62.44182,365,185,1972-02-13 09:00:00,14.19702,365,135,1972-04-03 09:00:00,0.77197,365,185
1972-10-01,1972-10-28 09:00:00,77.68505,364,27,1972-10-29 09:00:00,22.76723,364,28,1972-10-28 09:00:00,0.78458,364,27
1973-10-01,1974-03-10 09:00:00,142.82649,364,160,1974-03-11 09:00:00,48.63504,364,161,1974-03-11 09:00:00,0.81429,364,161
1974-10-01,1975-03-03 09:00:00,89.40610,364,153,1975-03-03 09:00:00,38.43820,364,153,1975-03-03 09:00:00,0.80227,364,153
1975-10-01,1976-02-11 09:00:00,139.30746,365,133,1976-02-29 09:00:00,29.54768,365,151,1976-02-29 09:00:00,0.79344,365,151
1976-10-01,1977-03-03 09:00:00,80.03076,364,153,1977-03-03 09:00:00,13.82527,364,153,1977-03-03 09:00:00,0.76555,364,153
1977-10-01,1978-03-18 09:00:00,76.07342,364,168,1978-03-19 09:00:00,17.57543,364,169,1978-03-19 09:00:00,0.79235,364,169
1978-10-01,1979-06-21 09:00:00,76.73358,364,263,1979-02-10 09:00:00,6.73782,364,132,1979-02-10 09:00:00,0.74224,364,132
1979-10-01,1980-05-09 09:00:00,138.19525,365,221,1980-05-10 09:00:00,65.60113,365,222,1980-05-09 09:00:00,0.81673,365,221
1980-10-01,1981-02-21 09:00:00,100.93797,364,143,1981-02-21 09:00:00,14.85381,364,143,1981-02-21 09:00:00,0.79185,364,143
1981-10-01,1982-03-14 09:00:00,41.96423,364,164,1982-03-14 09:00:00,5.48294,364,164,1982-03-14 09:00:00,0.67579,364,164
1982-10-01,1983-05-02 09:00:00,80.82184,364,213,1983-06-23 09:00:00,30.95218,364,265,1983-06-23 09:00:00,0.79118,364,265
1983-10-01,1984-04-09 09:00:00,117.15495,365,191,1984-04-10 09:00:00,24.24349,365,192,1984-04-09 09:00:00,0.77279,365,191
1984-10-01,1985-07-09 09:00:00,69.51128,364,281,1985-07-10 09:00:00,11.07441,364,282,1985-07-10 09:00:00,0.75255,364,282
1985-10-01,1985-10-27 09:00:00,83.57713,364,26,1985-10-27 09:00:00,1.95824,364,26,1986-05-12 09:00:00,0.46028,364,223
1986-10-01,1987-03-05 09:00:00,176.13431,364,155,1987-05-11 09:00:00,48.52654,364,222,1987-05-11 09:00:00,0.81031,364,222
1987-10-01,1988-09-15 09:00:00,114.60303,365,350,1988-04-07 09:00:00,51.70502,365,189,1988-04-04 09:00:00,0.80570,365,186
1988-10-01,1989-04-02 09:00:00,195.74681,364,183,1989-04-02 09:00:00,68.48997,364,183,1989-04-02 09:00:00,0.82173,364,183
1989-10-01,1990-02-03 09:00:00,100.55519,364,125,1990-04-06 09:00:00,24.08510,364,187,1990-04-05 09:00:00,0.79870,364,186
1990-10-01,1991-02-08 09:00:00,30.73469,364,130,1991-06-10 09:00:00,2.47784,364,252,1991-06-10 09:00:00,0.60272,364,252
1991-10-01,1991-12-13 09:00:00,111.50639,365,73,1992-04-04 09:00:00,7.00237,365,186,1991-12-13 09:00:00,0.70576,365,73
1992-10-01,1992-11-18 09:00:00,51.19445,364,48,1993-07-13 09:00:00,1.43667,364,285,1993-07-17 09:00:00,0.49411,364,289
1993-10-01,1993-12-08 09:00:00,69.66546,364,68,1994-03-04 09:00:00,15.56195,364,154,1994-03-04 09:00:00,0.77025,364,154
1994-10-01,1995-02-16 09:00:00,71.20583,364,138,1995-02-17 09:00:00,11.33234,364,139,1995-02-16 09:00:00,0.74915,364,138
1995-10-01,1996-05-03 09:00:00,123.58261,365,215,1996-05-03 09:00:00,41.46185,365,215,1996-05-03 09:00:00,0.81327,365,215
1996-10-01,1997-02-14 09:00:00,42.09978,364,136,1997-02-28 09:00:00,3.69006,364,150,1997-02-28 09:00:00,0.66691,364,150
1997-10-01,1998-02-09 09:00:00,52.35328,364,131,1998-09-26 09:00:00,1.13913,364,360,1998-02-13 09:00:00,0.52021,364,135
1998-10-01,1999-04-11 09:00:00,66.07243,364,192,1999-04-11 09:00:00,22.24897,364,192,1999-04-11 09:00:00,0.78750,364,192
1999-10-01,2000-01-14 09:00:00,54.82755,365,105,2000-01-15 09:00:00,5.11495,365,106,2000-01-15 09:00:00,0.62409,365,106
2000-10-01,2001-02-02 09:00:00,198.43262,364,124,2001-02-02 09:00:00,56.43726,364,124,2001-02-02 09:00:00,0.82313,364,124
2001-10-01,2001-11-27 09:00:00,55.69864,364,57,2002-06-03 09:00:00,0.98966,364,245,2001-11-28 09:00:00,0.64159,364,58
2002-10-01,2003-02-24 09:00:00,48.22814,364,146,2003-04-29 09:00:00,4.95327,364,210,2003-03-14 09:00:00,0.63919,364,164
2003-10-01,2004-03-06 09:00:00,96.84263,365,157,2004-03-06 09:00:00,14.02680,365,157,2004-03-06 09:00:00,0.79031,365,157
2004-10-01,2005-06-30 09:00:00,150.26338,364,272,2005-06-30 09:00:00,36.27341,364,272,2005-06-30 09:00:00,0.79183,364,272
2005-10-01,2006-01-20 09:00:00,81.29095,364,111,2006-01-21 09:00:00,23.81867,364,112,2006-01-20 09:00:00,0.79422,364,111
2006-10-01,2007-09-23 09:00:00,42.37973,364,357,2006-11-10 09:00:00,2.68054,364,40,2006-11-10 09:00:00,0.60024,364,40
2007-10-01,2008-01-05 09:00:00,117.78173,365,96,2008-01-05 09:00:00,31.71877,365,96,2008-01-05 09:00:00,0.80959,365,96
2008-10-01,2009-05-22 09:00:00,166.99673,364,233,2009-05-22 09:00:00,57.71955,364,233,2009-05-22 09:00:00,0.82111,364,233
2009-10-01,2010-03-03 09:00:00,91.14857,364,153,2010-03-03 09:00:00,28.01380,364,153,2010-03-03 09:00:00,0.80183,364,153
2010-10-01,2010-12-28 09:00:00,48.41682,364,88,2010-12-28 09:00:00,15.29587,364,88,2011-01-10 09:00:00,0.77007,364,101
2011-10-01,2012-01-26 09:00:00,61.12091,365,117,2012-01-26 09:00:00,16.31158,365,117,2012-01-26 09:00:00,0.78399,365,117
2012-10-01,2013-01-28 09:00:00,98.01590,364,119,2013-02-23 09:00:00,33.08776,364,145,2013-02-23 09:00:00,0.79839,364,145
2013-10-01,2014-03-28 09:00:00,94.79053,364,178,2014-08-28 09:00:00,11.04446,364,331,2014-08-28 09:00:00,0.71950,364,331
2014-10-01,2015-05-02 09:00:00,119.79998,364,213,2015-05-02 09:00:00,19.96232,364,213,2015-05-02 09:00:00,0.76903,364,213
2015-10-01,2016-06-05 09:00:00,99.16231,365,248,2016-06-05 09:00:00,10.07462,365,248,2016-06-20 09:00:00,0.87989,365,263
2016-10-01,2017-03-31 09:00:00,221.49365,364,181,2017-03-31 09:00:00,74.42683,364,181,2017-03-31 09:00:00,0.98443,364,181
2017-10-01,2017-10-15 09:00:00,62.49785,364,14,2018-03-07 09:00:00,8.09319,364,157,2018-03-07 09:00:00,0.84247,364,157
2018-10-01,2019-03-16 09:00:00,58.66534,364,166,2019-06-27 09:00:00,2.35433,364,269,2018-10-22 09:00:00,0.81723,364,21
2019-10-01,2020-01-18 09:00:00,90.73084,365,109,2020-02-14 09:00:00,34.19789,365,136,2020-02-14 09:00:00,0.94721,365,136
2020-10-01,2020-12-15 09:00:00,118.83386,364,75,2021-03-24 09:00:00,24.30724,364,174,2020-12-15 09:00:00,0.96639,364,75
2021-10-01,2022-02-28 09:00:00,327.48248,303,150,2022-02-28 09:00:00,121.76960,303,150,2022-02-28 09:00:00,0.98736,303,150
