# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:51:05
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,RIVER_PRECIPITATION_TIMEPEAK,RIVER_PRECIPITATION_PEAK,RIVER_PRECIPITATION_NVALID,RIVER_PRECIPITATION_DAYOFYEAR,RIVER_QTOT_TIMEPEAK,RIVER_QTOT_PEAK,RIVER_QTOT_NVALID,RIVER_QTOT_DAYOFYEAR,RIVER_SMPFULL_TIMEPEAK,RIVER_SMPFULL_PEAK,RIVER_SMPFULL_NVALID,RIVER_SMPFULL_DAYOFYEAR
1911-10-01,1912-06-25 09:00:00,71.05810,365,268,1912-06-25 09:00:00,16.60892,365,268,1912-06-25 09:00:00,0.74603,365,268
1912-10-01,1913-06-22 09:00:00,96.61693,364,264,1913-06-22 09:00:00,20.14538,364,264,1913-06-22 09:00:00,0.79816,364,264
1913-10-01,1914-05-09 09:00:00,54.78995,364,220,1914-07-22 09:00:00,19.08766,364,294,1914-07-22 09:00:00,0.76952,364,294
1914-10-01,1914-10-17 09:00:00,52.80524,364,16,1914-10-17 09:00:00,6.52888,364,16,1914-10-17 09:00:00,0.67435,364,16
1915-10-01,1916-02-27 09:00:00,79.67995,365,149,1916-04-10 09:00:00,36.85388,365,192,1916-04-10 09:00:00,0.79522,365,192
1916-10-01,1917-02-04 09:00:00,83.18349,364,126,1917-02-05 09:00:00,20.92578,364,127,1917-02-05 09:00:00,0.76854,364,127
1917-10-01,1917-11-09 09:00:00,159.92934,364,39,1917-11-09 09:00:00,42.14233,364,39,1917-11-09 09:00:00,0.81823,364,39
1918-10-01,1919-05-29 09:00:00,149.26910,364,240,1919-05-30 09:00:00,50.40240,364,241,1919-05-29 09:00:00,0.81832,364,240
1919-10-01,1920-01-07 09:00:00,62.93839,365,98,1920-01-22 09:00:00,14.46955,365,113,1920-01-22 09:00:00,0.76936,365,113
1920-10-01,1921-07-23 09:00:00,183.82805,364,295,1921-05-16 09:00:00,64.02145,364,227,1921-07-23 09:00:00,0.82210,364,295
1921-10-01,1921-12-28 09:00:00,138.55730,364,88,1922-02-21 09:00:00,20.19151,364,143,1922-02-21 09:00:00,0.77573,364,143
1922-10-01,1923-04-09 09:00:00,69.45213,364,190,1923-04-28 09:00:00,25.12679,364,209,1923-04-28 09:00:00,0.78723,364,209
1923-10-01,1924-06-13 09:00:00,130.96420,365,256,1924-06-13 09:00:00,28.59019,365,256,1924-06-13 09:00:00,0.77727,365,256
1924-10-01,1925-03-12 09:00:00,82.28677,364,162,1925-03-12 09:00:00,49.61823,364,162,1925-03-12 09:00:00,0.80066,364,162
1925-10-01,1926-01-01 09:00:00,62.11716,364,92,1926-01-02 09:00:00,11.34978,364,93,1925-11-10 09:00:00,0.72199,364,40
1926-10-01,1927-01-24 09:00:00,87.59978,364,115,1927-01-24 09:00:00,36.70260,364,115,1927-01-24 09:00:00,0.80258,364,115
1927-10-01,1927-11-29 09:00:00,102.34705,365,59,1927-12-01 09:00:00,24.76671,365,61,1927-11-29 09:00:00,0.77556,365,59
1928-10-01,1929-03-01 09:00:00,175.96637,364,151,1929-03-02 09:00:00,45.48802,364,152,1929-03-01 09:00:00,0.82235,364,151
1929-10-01,1930-04-15 09:00:00,107.81819,364,196,1930-04-15 09:00:00,24.60686,364,196,1930-06-01 09:00:00,0.79670,364,243
1930-10-01,1931-02-06 09:00:00,216.41760,364,128,1931-02-07 09:00:00,74.82892,364,129,1931-02-06 09:00:00,0.82872,364,128
1931-10-01,1931-12-01 09:00:00,56.73829,365,61,1931-12-10 09:00:00,15.35508,365,70,1931-12-09 09:00:00,0.76690,365,69
1932-10-01,1933-04-05 09:00:00,95.65526,364,186,1933-04-06 09:00:00,27.70985,364,187,1933-07-26 09:00:00,0.77962,364,298
1933-10-01,1934-05-09 09:00:00,129.21141,364,220,1934-05-09 09:00:00,48.48887,364,220,1934-05-09 09:00:00,0.81477,364,220
1934-10-01,1935-01-15 09:00:00,45.65783,364,106,1935-07-12 09:00:00,7.33693,364,284,1935-07-12 09:00:00,0.68173,364,284
1935-10-01,1936-03-03 09:00:00,69.54571,365,154,1936-05-25 09:00:00,6.36331,365,237,1936-03-25 09:00:00,0.69225,365,176
1936-10-01,1937-02-11 09:00:00,103.15977,364,133,1937-03-17 09:00:00,29.76294,364,167,1937-03-17 09:00:00,0.78627,364,167
1937-10-01,1938-04-10 09:00:00,123.55229,364,191,1938-05-27 09:00:00,41.27260,364,238,1938-04-10 09:00:00,0.81059,364,191
1938-10-01,1939-03-06 09:00:00,132.27875,364,156,1939-03-06 09:00:00,38.34601,364,156,1939-03-06 09:00:00,0.81470,364,156
1939-10-01,1940-03-02 09:00:00,78.85016,365,153,1940-03-02 09:00:00,12.31669,365,153,1940-03-19 09:00:00,0.74223,365,170
1940-10-01,1940-12-03 09:00:00,78.61763,364,63,1941-06-01 09:00:00,16.98432,364,243,1941-05-31 09:00:00,0.74629,364,242
1941-10-01,1942-02-10 09:00:00,104.83334,364,132,1942-02-10 09:00:00,25.30310,364,132,1942-02-10 09:00:00,0.80723,364,132
1942-10-01,1942-10-12 09:00:00,77.35429,364,11,1943-01-06 09:00:00,13.31656,364,97,1943-01-06 09:00:00,0.74570,364,97
1943-10-01,1943-12-30 09:00:00,77.98721,365,90,1944-01-29 09:00:00,34.23275,365,120,1944-01-29 09:00:00,0.79531,365,120
1944-10-01,1945-06-11 09:00:00,173.69415,364,253,1945-06-12 09:00:00,72.54093,364,254,1945-06-11 09:00:00,0.82514,364,253
