# --------------------------------------------------
# nrow : 86
# ncol : 11
# comment : POT flow data
# pot_thresh_203002[m3/s] : 240.3
# pot_thresh_203004[m3/s] : 573.8
# pot_thresh_203005[m3/s] : 460.5
# pot_thresh_203010[m3/s] : 386.9
# pot_thresh_203012[m3/s] : 87.1
# pot_thresh_203014[m3/s] : 243.5
# pot_thresh_203024[m3/s] : 176.2
# pot_thresh_203900[m3/s] : 430.7
# time_generated : 2026-01-23 09:26:11
# author : unknown
# source_file : concatenate_ams_data.py
# --------------------------------------------------
DAY,203002_PEAK,203004_PEAK,203005_PEAK,203010_PEAK,203012_PEAK,203014_PEAK,203024_PEAK,203900_PEAK,WATERYEAR,START,END
1958-08-06,,,,,,315.07001,,,1957.00000,1958-08-03,1958-08-09
1961-02-19,,,,,,318.13300,,,1960.00000,1961-02-16,1961-02-22
1962-01-15,,,,,,261.76898,,,1961.00000,1962-01-12,1962-01-18
1962-04-07,,,,,,267.02499,,,1961.00000,1962-04-04,1962-04-10
1962-07-10,,,,,,540.32001,,,1961.00000,1962-07-07,1962-07-13
1963-05-08,,,,,,378.79001,,,1962.00000,1963-05-05,1963-05-11
1966-06-11,,,,,,268.79901,,,1965.00000,1966-06-08,1966-06-14
1967-03-19,,,,,,340.36200,,,1966.00000,1967-03-16,1967-03-22
1968-01-13,,,,427.26913,,41.82500,,,1967.00000,1968-01-10,1968-01-16
1970-12-09,,378.48950,,382.51752,,251.83200,,,1970.00000,1970-12-06,1970-12-12
1971-02-19,,1024.13342,,380.71851,,84.73200,,,1970.00000,1971-02-16,1971-02-22
1972-02-13,,891.76099,497.91187,448.78683,,377.67801,,,1971.00000,1972-02-09,1972-02-17
1972-04-03,,197.72906,128.85344,133.48920,,292.26501,,,1971.00000,1972-03-31,1972-04-06
1972-10-29,,922.86017,405.73053,386.07361,,381.86499,,,1972.00000,1972-10-25,1972-11-02
1974-01-27,,1333.79395,991.19885,365.52600,,349.03198,,,1973.00000,1974-01-24,1974-01-31
1974-03-12,,1204.97449,750.21027,913.89191,,438.13400,,,1973.00000,1974-03-07,1974-03-17
1974-04-22,,255.58878,50.71745,181.78979,,403.45300,,,1973.00000,1974-04-19,1974-04-25
1974-06-04,,728.82233,424.87579,268.74744,,135.79500,,,1973.00000,1974-06-01,1974-06-07
1975-03-03,,1301.03552,786.67932,535.09607,,291.94400,,,1974.00000,1975-02-27,1975-03-07
1975-12-24,,885.85278,856.73151,173.34468,,44.47900,,,1975.00000,1975-12-21,1975-12-28
