# --------------------------------------------------
# nrow : 903
# ncol : 11
# comment : RFF predictors
# time_generated : 2025-12-08 12:49:41
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/2_Hydrology/2_FloodFrequencyAnalysis/6_covariate_paper/0_DataProcessingScripts/covariate_paper/scripts/data/D040_prepare_rff_predictors.py
# work_dir : /datasets/work/lw-resilient-nr/work/2_Hydrology/2_FloodFrequencyAnalysis/6_covariate_paper/0_DataProcessingScripts/covariate_paper
# python_environment posix
# python_version : 3.12.9 | packaged by conda-forge | (main, Mar  4 2025, 22:48:41) [GCC 13.3.0]
# pandas_version : 2.3.3
# numpy_version : 1.26.4
# python_inc : /datasets/work/lw-resilient-nr/work/0_Common_Data/5_Software/1_Python/conda/envs/env_jl_v2_pet/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/5_Software/1_Python/conda/envs/env_jl_v2_pet/lib/python3.12/site-packages
# --------------------------------------------------
STATIONID,PRECIPITATION_IFD_RATIO_AEP50%_2%[mm],CENTER_OZ_METRIC[-],RATIO_OUTLET_DISTANCE_VS_SQRTAREA[-],RATIO_MAXPATH_VS_SQRTAREA[-],ARIDITY_INDEX[-],XCENTROID_EPSG28356[m],YCENTROID_EPSG28356[m],LOG10_CATCHMENTAREA_VALID[km2][-],LOG10_DISTANCE_CENTROID_FROM_COAST[km][-],LOG10_PRECIPITATION_IFD_AEP2%[mm][-],LOG10_PRECIPITATION_IFD_AEP50%[mm][-]
710229,0.36157,-0.99540,1.05803,2.54244,0.17086,-3126081.25000,7165967.50000,3.81295,2.30909,1.35984,0.91803
708003,0.37150,-0.98246,1.52561,3.45545,0.18743,-3320308.00000,7086298.00000,4.26414,2.21991,1.33041,0.90037
708002,0.37030,-0.98059,1.22358,2.83805,0.19511,-3282114.00000,7077526.00000,4.16523,2.28176,1.30535,0.87390
707005,0.34622,-0.97099,0.87810,2.73517,0.13869,-3526597.00000,6999009.50000,3.36669,2.02901,1.39967,0.93902
701010,0.42000,-0.85323,0.68266,2.41959,0.20511,-3431726.00000,6197060.00000,3.03279,1.47058,1.06070,0.68395
701007,0.42281,-0.84603,1.06316,2.91599,0.20607,-3381663.75000,6166320.00000,3.19825,1.53774,1.05690,0.68305
701006,0.41103,-0.84398,0.78772,2.08959,0.21388,-3397990.75000,6141543.00000,1.53020,0.75885,1.13354,0.74741
701009,0.38462,-0.83458,0.98298,2.70606,0.20462,-3278971.25000,6133882.50000,3.72132,1.92371,1.06819,0.65321
701005,0.39583,-0.82450,0.83354,2.22503,0.23746,-3266000.00000,6062731.00000,2.90835,1.74070,1.07918,0.67669
617001,0.39818,-0.80615,0.90403,3.06255,0.28446,-3153161.75000,5990218.50000,3.99250,2.09243,1.04139,0.64147
617015,0.40000,-0.80551,1.24472,3.65066,0.21866,-3154568.25000,5984095.50000,4.02111,2.07169,1.04139,0.64345
617010,0.40000,-0.80371,1.08249,2.51158,0.19827,-3129845.50000,5987023.00000,3.27345,2.13427,1.02938,0.63144
617009,0.39189,-0.79441,0.58940,1.87805,0.28653,-3111968.75000,5924420.50000,3.17992,2.01880,1.04532,0.63849
617003,0.38913,-0.79113,0.60005,2.01834,0.41467,-3149871.50000,5867907.00000,3.13694,1.56346,1.13988,0.72997
617058,0.39197,-0.78939,0.58308,1.68123,0.39984,-3132033.75000,5866773.00000,2.02449,1.67866,1.13672,0.72997
617165,0.39851,-0.78801,1.10691,2.32997,0.41927,-3125251.25000,5860199.00000,1.77122,1.66906,1.12710,0.72754
616189,0.41953,-0.78474,1.02862,2.63284,0.42080,-3118811.00000,5837000.00000,2.76451,1.52848,1.10721,0.72997
616001,0.44180,-0.77911,0.89001,2.41295,0.48879,-3075545.50000,5823238.00000,2.71152,1.77811,1.08636,0.73159
616040,0.46538,-0.77907,0.78966,2.13811,0.56872,-3088331.00000,5812231.00000,1.36305,1.63899,1.11394,0.78176
616088,0.46769,-0.77839,1.08900,2.61603,0.54343,-3087806.25000,5806679.00000,2.14016,1.61923,1.11394,0.78390
616178,0.46692,-0.77808,0.92273,2.29764,0.57368,-3083750.25000,5807369.50000,1.86576,1.65873,1.11394,0.78319
616007,0.46720,-0.77683,0.54161,1.90199,0.52471,-3075782.75000,5802975.00000,1.59329,1.71004,1.09691,0.76641
616014,0.48029,-0.77613,1.01402,2.55738,0.60901,-3083756.25000,5790040.50000,1.74225,1.59453,1.13672,0.81823
616021,0.49197,-0.77150,0.78923,2.24775,0.76221,-3072725.50000,5757849.00000,0.85794,1.62125,1.13672,0.82866
616041,0.48722,-0.77067,0.86425,2.28129,0.79915,-3064746.00000,5757349.50000,1.90763,1.67979,1.12385,0.81158
614073,0.49704,-0.77036,0.86568,2.51273,0.73124,-3069835.00000,5749984.50000,1.71214,1.59409,1.13033,0.82672
614031,0.49008,-0.76941,0.64826,2.12316,0.63428,-3058267.00000,5751538.00000,1.74320,1.69628,1.11727,0.80754
614028,0.51579,-0.76881,1.43856,3.05957,0.61441,-3072126.50000,5733806.50000,1.80516,1.46576,1.12385,0.83632
616065,0.44962,-0.76864,1.06639,2.56212,0.58561,-3043437.00000,5757758.50000,2.71650,1.81689,1.11727,0.77012
614005,0.52481,-0.76857,0.93850,2.22375,0.73660,-3068783.50000,5734536.50000,1.54580,1.51339,1.12385,0.84386
615027,0.38750,-0.76741,0.63176,1.89308,0.35381,-3008728.75000,5777680.00000,3.30257,2.02373,1.07918,0.66745
614036,0.53846,-0.76613,0.78957,2.16278,0.70107,-3055657.50000,5723752.00000,1.90168,1.62858,1.11394,0.84510
614037,0.50645,-0.76546,0.69376,1.88789,0.60954,-3043939.75000,5728168.50000,2.17447,1.73880,1.09342,0.79796
